Species;Sample_01;Sample_02;Sample_03;Sample_04;Sample_05;Sample_06
Lobatula lobatula;75;65;50;30;12;3
Elphidium crispum;75;65;50;30;12;3
Planorbulina mediterranensis;75;65;50;30;12;3
Elphidium punctatum;12;15;19;19;14;6
Quinqueloculina bosciana;11;15;19;19;14;5
Ammonia beccarii;11;15;19;19;13;5
Uvigerina mediterranea;11;15;18;18;13;5
Asterigerinata adriatica;7;10;15;25;30;20
Bolivina spathulata;7;10;15;25;30;20
Bulimina marginata;7;10;15;25;30;20
Cassidulina carinata;6;12;24;45;75;90
Nonionella turgida;3;3;6;15;45;120
