Species;Ecogroup
Ammodiscus anguillae;3
Ammoglobigerina globigeriniformis;4
Ammolagena clavata;1
Ammonia beccarii;5
Amphicoryna hirsuta;4
Amphicoryna scalaris;3
Angulogerina bella;2
Anomalinoides colligerus;2
Astacolus crepidulus;1
Asterigerina carinata;1
Bifarina decorata;4
Bolivina albatrossi;3
Bolivina lowmani;3
Bolivina ordinaria;4
Bolivina striatula;3
Bolivina subaenariensis;2
Bolivina subspinescens;2
Bolivinellina translucens;3
Brizalina spathulata;2
Bulimina aculeata;2
Bulimina alazanensis;3
Bulimina marginata;2
Bulimina striata mexicana;3
Buliminella elegantissima;5
Buliminella morgani;5
Buzasina ringens;4
Cancris auriculus;5
Cassidulina carinata;2
Cassidulina crassa;4
Cassidulina laevigata;3
Cassidulina neoteretis;4
Cassidulina reniforme;2
Chilostomella oolina;5
Cibicides io;2
Cibicides mollis;1
Cibicides refulgens;1
Cibicides tenuimargo;3
Cibicidoides bradyi;2
Cibicidoides kullenbergi;1
Cibicidoides pachyderma;2
Cibicidoides robertsonianas;1
Cibicidoides subhaidingerii;2
Cibicidoides wuellerstorfi;2
Cornuspira involvens;1
Cribrostomoides bradyi;3
Cribrostomoides nitidum;3
Cribrostomoides subglobosum;3
Cymbaloporetta squammosa;1
Eggerella bradyi;3
Elphidium discoidale;2
Elphidium excavatum;4
Epistominella exigua;4
Epistominella vitrea;3
Eponides turgidus;3
Fissurina marginata;2
Fissurina radiata;2
Fursenkoina complanata;4
Fursenkoina mexicana;4
Fursenkoina pontoni;5
Gaudryina pyramidata;2
Gavelinopsis translucens;3
Globobulimina affinis;4
Globocassidulina subglobosa;3
Glomospira charoides;5
Glomospira gordialis;3
Gyroidina altiformis;2
Gyroidina soldanii;4
Gyroidinoides regularis;4
Haplophragmoides fragile;3
Haynesina germanica;5
Hoeglundina elegans;2
Hormosina globulifera;5
Hyperammina elongata;4
Lagena striata;2
Lagenammina difflugiformis;4
Laticarinina pauperata;5
Lenticulina calcar;2
Lenticulina convergens;2
Lenticulina cultrata;3
Lenticulina iota;1
Lenticulina vortex;1
Marginulopsis marginulinoides;2
Melonis barleeanus;2
Melonis pompilioides;1
Neoconorbina terquemi;1
Neolenticulina peregrina;2
Nonionella atlantica;3
Nonionella turgida;3
Nouria polymorphinoides;4
Nuttalides rugosus;2
Oridorsalis tenerus;2
Osangularia culter;3
Paracassidulina minuta;2
Peneroplis pertusus;1
Peneroplis planatus;1
Planulina ariminensis;2
Procerolagena gracilis;2
Procerolagena gracillima;2
Pullenia bulloides;2
Pullenia quinqueloba;2
Pyramidulina comatula;3
Pyrgo murrhyna;2
Pyrgo nasutus;4
Pyrgoella sphaera;1
Quinqueloculina auberiana;1
Quinqueloculina bosciana;2
Quinqueloculina impressa;2
Quinqueloculina laevigata;2
Quinqueloculina lamarckiana;2
Quinqueloculina polygona;2
Quinqueloculina tropicalis;1
Reophax agglutinatus;5
Reophax scorpiurus;3
Reussella spinulosa;3
Reussoolina laevis;4
Robertinoides bradyi;2
Rosalina concinna;2
Rosalina globularis;2
Rutherfordoides rotundata;3
Sagrinella durandii;2
Seabrookia earlandi;4
Sigmoilina tenuis;5
Sigmoilopsis schlumbergeri;2
Siphogenerina striata;3
Siphonina bradyana;3
Sphaeroidina bulloides;2
Spiroplectinella filiformis;4
Subreophax monile;3
Testulosiphon indivisus;3
Textularia agglutinans;4
Textularia mayori;5
Tretomphalus atlanticus;2
Trifarina bradyi;3
Triloculina linneiana;1
Triloculina oblonga;2
Triloculina trigonula;3
Trochammina inflata;4
Trochammina ochracea;5
Trochammina rotaliformis;5
Uvigerina canariensis;4
Uvigerina flintii;2
Uvigerina laevis;2
Uvigerina peregrina;5
Uvigerina pignaea;4
Valvulineria minuta;3
Veleroninoides jeffreysii;4
