Species;Ecogroup
Adercotryma glomerata;1
Adercotryma wrighti;1
Ammodiscus catinus;1
Ammoglobigerina globigeriniformis;1
Ammolagena clavata;1
Ammoscalaria tenuissima;1
Ammosphaeroidina sphaeroidiniformis;1
Amphicoryna scalaris;2
Astrononion gallowayi;2
Baggina bradyi;3
Bigenerina cylindrica;2
Bigenerina nodosaria;1
Bolivina pseudoplicata;2
Bolivinellina pseudopunctata;2
Bolivinellina translucens;2
Brizalina dilatata;2
Brizalina skagerrakensis;3
Brizalina spathulata;3
Brizalina striatula;2
Buccella frigida;3
Bulimina elongata;2
Bulimina gibba;2
Bulimina marginata;3
Bulimina striata mexicana;2
Buliminella elegantissima;3
Cancris auriculus;1
Cassidulina carinata;1
Cassidulina laevigata;1
Cassidulina neoteretis;1
Cassidulina reniforme;1
Cassidulina teretis;1
Chilostomella oolina;3
Cibicides lobatulus;1
Cibicides refulgens;1
Cibicides wuellerstorfi;1
Cornuloculina balkwilli;1
Cribrostomoides crassimargo;2
Cribrostomoides kosterensis;1
Cribrostomoides nitidum;1
Cribrostomoides subglobosum;1
Crithionina mamilla;1
Cyclammina cancellata;1
Dendrophrya arborescens;1
Deuterammina cf. rotaliformis;1
Deuterammina rotaliformis;1
Discanomalina semipunctata;1
Discorbinella bertheloti;1
Eggerelloides medius;3
Eggerelloides scaber;3
Elphidium albiumbilicatum;3
Elphidium bartletti;3
Elphidium excavatum clavatum;1
Elphidium magellanicum;3
Epistominella exigua;1
Epistominella vitrea;2
Fursenkoina bradyi;3
Gavelinopsis praegeri;1
Globobulimina auriculata;3
Globobulimina turgida;3
Globotrochamminopsis pygmaeus;2
Haplophragmoides bradyi;2
Haplophragmoides fragile;1
Hoeglundina elegans;1
Hopkinsina atlantica;4
Hormosinella guttifera;1
Hyalinea balthica;1
Ioanella tumidula;1
Islandiella norcrossi;2
Jaculella obtusa;1
Lagenammina aff. difflugiformis;2
Lagenammina atlantica;2
Lagenammina difflugiformis;1
Lepidodeuterammina ochracea;1
Leptohalysis scottii;3
Liebusella goesi;2
Marsipella elongata;1
Melonis barleeanus;3
Melonis zaandami;1
Neoconorbina williamsoni;1
Nonion commune;2
Nonion labradoricum;3
Nonionella iridea;3
Nonionella turgida;2
Nonionella turgida digitata;2
Oridorsalis tener;1
Oridorsalis umbonatus;1
Pullenia bulloides;3
Pullenia osloensis;3
Quinqueloculina seminula;2
Quinqueloculina stalkeri;5
Rectuvigerina bononiensis;2
Rectuvigerina phlegeri;2
Recurvoides trochamminiforme;3
Recurvoides turbinatus;1
Reophax bilocularis;1
Reophax micaceus;1
Reophax scorpiurus;3
Reophax subfusiformis;2
Rhabdammina abyssorum;1
Robertina arctica;3
Saccammina sphaerica;2
Saccorhiza ramosa;2
Silicosigmoilina groenlandica;2
Siphogenerina columellaris;1
Siphonina bradyana;1
Spirillina vivipara;1
Spiroplectammina biformis;3
Stainforthia complanata;2
Stainforthia fusiformis;5
Stainforthia loeblichi;1
Textularia agglutinans;2
Textularia bocki;1
Textularia earlandi;3
Textularia kattegatensis;2
Textularia pseudogramen;1
Tolypammina vagans;1
Trifarina angulosa;1
Trifarina bradyi;1
Trifarina fluens;1
Triloculina frigida;1
Tritaxis conica;1
Tritaxis fusca;1
Trochammina squamata;1
Trochamminopsis quadriloba;1
Uvigerina celtica;2
Uvigerina elongatastriata;1
Uvigerina mediterranea;1
Uvigerina peregrina;3
