Species;Ecogroup
Cribroelphidium poeyanum;1
Ammobaculites balkwilli;2
Ammonia parkinsoniana;2
Ammonia tepida;3
Ammoscalaria pseudospiralis;2
Ammotium cassis;3
Ammotium morenoi;2
Arenoparrella mexicana;1
Asterigerinata mamilla;1
Aubignyna hamblensis;5
Aubignyna perlucida;5
Bolivina dilatata;3
Bolivina ordinaria;2
Bolivina pseudoplicata;2
Bolivina robusta;1
Bolivina spathulata;3
Bolivina striatula;5
Bolivina variabilis;3
Bolivinellina pseudopunctata;3
Bolivinellina translucens;3
Bulimina elegans;3
Bulimina elongata;4
Bulimina gibba;3
Bulimina marginata;4
Buliminella elegantissima;3
Cibicidoides lobatulus;1
Cibicidoides ungerianus;2
Cornuspira involvens;4
Cribroelphidium excavatum;1
Cribroelphidium gerthi;3
Cribroelphidium gunteri;3
Cribroelphidium magellanicum;2
Cribroelphidium williamsoni;3
Cribrostomoides jeffreysii;4
Discorbis vilardeboanus;1
Eggerelloides scaber;4
Eilohedra vitrea;3
Elphidium advenum;3
Elphidium articulatum;5
Elphidium cuvillieri;1
Elphidium margaritaceum;1
Elphidium pereirum;1
Elphidium pulvereum;1
Fursenkoina complanata;3
Fusulina lucida;5
Gavelinopsis praegiri;1
Haplophragmoides manilaensis;2
Haynesina depressula;1
Haynesina germanica;3
Hopkinsina atlantica;5
Hopkinsina pacifica;5
Lepidodeuterammina eddystonensis;1
Lepidodeuterammina ochracea;1
Leptohalysis scottii;1
Miliammina fusca;2
Miliammina obliqua;3
Miliolinella subrotunda;2
Neocorbina nitida;1
Nonionella stella;3
Nonionoides turgidus;3
Paratrochammina (Lepidoparatrochammina) haynesi;1
Planorbulina mediterranensis;1
Polysaccammina hyperhalina;1
Quinqueloculina carinatastriata;5
Quinqueloculina jugosa;5
Quinqueloculina lata;5
Quinqueloculina seminula;5
Quinqueloculina stelligera;5
Reophax nana;1
Rosalina bradyi;2
Rotaliammina concava;5
Siphotrochammina lobata;3
Spirillina vivipara;2
Stainforthia fusiformis;4
Subanomalina pauperata;1
Textularia earlandi;3
Tiphotrocha comprimata;3
