Species;Ecogroup
Adelosina cliarensis;2
Adelosina longirostra;1
Adelosina mediterranensis;1
Adelosina milletti;1
Adelosina pulchella;3
Ammobaculites balkwilli;3
Ammobaculites exiguus;2
Ammonia batava subsp. compacta;4
Ammonia beccarii;1
Ammonia parkinsoniana;1
Ammonia tepida;3
Ammoscalaria runiana;3
Asterigerinata mamilla;1
Astrononion stelligerum;1
Aubignyna perlucida;5
Bolivina dilatata;2
Bolivina ordinaria;5
Bolivina pseudoplicata;5
Bolivina spathulata;4
Bolivina striatula;1
Bolivina variabilis;1
Bulimina elongata;3
Bulimina marginata;2
Buliminella elegantissima;3
Cassidulina carinata;1
Cibicides refulgens;1
Cibicidoides lobatulus;1
Cribroelphidium excavatum;3
Cribroelphidium gunteri;5
Cribroelphidium incertum;1
Cribroelphidium poeyanum;3
Cribroelphidium selseyense;3
Cribroelphidium williamsoni;1
Cycloforina contorta;1
Discorbinella bertheloti;3
Discorinopsis aguayoi;1
Elphidium advenum;1
Elphidium complanatum;1
Elphidium crispum;1
Haynesina depressula;1
Haynesina germanica;3
Hopkinsina atlantica;4
Hopkinsina pacifica;5
Massilina secans;1
Miliammina fusca;3
Miliolinella subrotunda;1
Nonionoides grateloupii;1
Nonionoides turgidus;3
Peneroplis pertusus;1
Peneroplis planatus;1
Planorbulina mediterranensis;1
Porosononion granosum;1
Porosononion subgranosus;4
Quinqueloculina berthelotiana;1
Quinqueloculina bicostata;1
Quinqueloculina carinatastriata;1
Quinqueloculina costata;5
Quinqueloculina jugosa;3
Quinqueloculina laevigata;1
Quinqueloculina lata;2
Quinqueloculina oblonga;5
Quinqueloculina seminula;1
Quinqueloculina stelligera;1
Rectuvigerina phlegeri;2
Rosalina bradyi;1
Rosalina globularis;1
Rosalina irregularis;5
Rosalina macropora;1
Sigmavirgulina tortuosa;1
Sigmoilina costata;1
Siphonaperta aspera;1
Spirillina vivipara;1
Stainforthia fusiformis;5
Textularia agglutinans;1
Textularia bocki;3
Triloculina marioni;3
Triloculina trigonula;1
Valvulineria bradyana;2
Vertebralina striata;3
