Species;Ecogroup
Adelosina milletti var. carinata;1
Ammoastuta inepta;1
Ammoastuta salsa;1
Ammobaculites exiguus;1
Ammonia sp.;1
Ammotium pseudocassis;1
Arenoparrella mexicana;1
Bolivina compacta;1
Bolivina doniezi;1
Bolivina ordinaria;1
Bolivina sp.;1
Bolivina spathulata;1
Bolivina striatula;1
Bolivina variabilis;1
Bolivinellina translucens;1
Bulimina elongata;1
Bulimina marginata;1
Bulimina patagonica;1
Buliminella elegantissima;1
Cancris sagra;1
Caronia exilis;1
Cornuspira involvens;1
Cribroelphidium poeyanum;1
Cribroelphidium sp.;1
Cribrostomoides sp.;1
Deuterammina sp.;1
Elphidium articulatum;1
Elphidium discoidale;1
Elphidium galvestonense;1
Entzia macrescens;1
Fissurina laevigata;1
Fissurina lucida;1
Fursenkoina pontoni;1
Globocassidulina crassa;1
Globocassidulina subglobosa;1
Hanzawaia boueana;1
Haplophragmoides wilberti;1
Haynesina germanica;1
Hopkinsina pacifica;1
Lagena caudata;1
Lagena striata;1
Lepidodeuterammina ochracea;1
Lobatula lobatula;1
Miliammina fusca;1
Miliolinella sp.;1
Neoconorbina terquemi;1
Nonionella auris;1
Nonionella opima;1
Nonionella pulchella;1
Nonionoides grateloupii;1
Pararotalia cananeiaensis;1
Pararotalia sarmientoi;1
Paratrochammina clossi;1
Paratrochammina sp.;1
Pseudononion japonicum;1
Pseudononion sp.;1
Pseudotriloculina patagonica;1
Pyrgo ringens;1
Quinqueloculina lamarckiana;1
Quinqueloculina milletti;1
Quinqueloculina sp.;1
Rosalina bradyi;1
Rosalina floridana;1
Rosalina sp.;1
Rosalina williamsoni;1
Sagrina pulchella;1
Sigmoilopsis minuta;1
Textularia agglutinans;1
Textularia earlandi;1
Textularia sp.;1
Trochammina hadai;1
Trochammina inflata;1
Trochammina sp.;1
Uvigerina bifurcata;1
Uvigerina striata;1
Virgulina conspiqua;1
Warrenita palustris;1
Ammonia parkinsoniana;2
Ammonia tepida;2
Ammotium morenoi;2
Quinqueloculina laevigata;2
Bolivina lowmani;3
Elphidium advenum;3
Elphidium excavatum;3
Miliolinella subrotunda;3
Triloculina oblonga;3
Acostata mariae;4
Adelosina milletti;4
Ammonia rolshauseni;4
Quinqueloculina bosciana;4
Quinqueloculina seminulum;4
Quinqueloculina vulgaris;4
Cribroelphidium gunteri;5
Quinqueloculina poeyana;5
Valvulineria candeiana;5
