Species;Ecogroup
Adelosina cf. carinatastriata;1
Acostata mariae;3
Adelosina cliarensis;1
Adelosina longirostra;1
Adelosina mediterranensis;1
Adelosina spp.;1
Adercotryma glomeratum;2
Affinetrina planciana;2
Agglutinella compressa;2
Ammonia beccari f. inflata;2
Ammonia beccarii;2
Ammonia compacta;3
Ammonia falsobeccarii;3
Ammonia inflata;2
Ammonia parkinsoniana;1
Ammonia perlucida;3
Ammonia tepida;4
Ammoscalaria foliaris;2
Amphicoryna scalaris;2
Amphistegina radiata;1
Articulina mucrunata;1
Asterigerinata adriatica;3
Asterigerinerata mamilla;1
Astrononion stelligerum;1
Aubignyna perlucida;3
Bigenerina nodosaria;2
Biloculinella labiata;2
Bolivina aenariensis;2
Bolivina alata;2
Bolivina catanensis;1
Bolivina difformis;2
Bolivina dilatata;2
Bolivina dilatata spathulata;1
Bolivina pseudoplicata;2
Bolivina seminuda;3
Bolivina spathulata;3
Bolivina striatula;3
Bolivina subaenariensis;2
Bolivina variabilis;2
Brizalina alata;2
Brizalina difformis;2
Brizalina laevigata;3
Brizalina striatula;3
Buccella frigida granulata;1
Buccella granulata;1
Buccella pustulosa;2
Bulimina aculeata;3
Bulimina costata;2
Bulimina denudata;4
Bulimina elongata;3
Bulimina gibba;3
Bulimina marginata;3
Caronia silvestrii;3
Cassidulina carinata;4
Cassidulina laevigata;4
Cassidulina oblonga;2
Cibicidella variabilis;1
Cibicides lobatulus;1
Cibicides refulgens;1
Clavulina cylindrica;3
Cornuspira involvens;3
Coscinospira hemprichii;1
Cribroelphidium oceanensis;3
Cribroelphidium poeyanum;3
Cycloforina contorta;1
Cycloforina polygona;2
Cycloforina quinquecarinata;1
Discorbinella bertheloti;1
Discorbis bertheloti;1
Discorbis mirus;1
Eggerella scabra;3
Eggerelloides advenus;3
Eggerelloides scaber;3
Elphidium aculeatum;1
Elphidium advenum;2
Elphidium complanatum;1
Elphidium crispum;1
Elphidium decipiens;2
Elphidium depressulum;2
Elphidium granosum;3
Elphidium lidoensis;2
Elphidium macellum;1
Elphidium poeyanum;3
Elphidium punctatum;2
Elphidium striatopunctatum;1
Elphidium translucens;2
Epistominella vitrea;4
Eponides concameratus;1
Eratidus foliaceus;2
Fissurina orbignyana caribaea;2
Fursenkoina sp. 1;3
Fursenkoina sp. 2;1
Gavelinopsis praegeri;1
Gavelinopsis translucens;1
Glabratella erecta;1
Glabratella hexacamerata;1
Globobulimina affinis;2
Globocassidulina subglobosa;2
Globotextularia anceps;1
Globulina gibba;1
Guttulina lactea;3
Guttulina problema;2
Gyroidina umbonata;2
Haynesina depressula;2
